

Method,CTCP
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Send Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
5.55492,0,0,2.461,2,8191,0,240,0,7.58285
4.84472,0,0,2.334,2,8191,0,211,0,6.06861
5.78811,0,0,2.618,2,8191,0,250,0,4.81062
5.61347,0,0,2.218,2,8191,0,242,0,14.4086
5.85782,0,0,2.407,2,8191,0,252,0,12.5565
5.74139,0,0,2.294,2,8189,0,248,0,8.45645
5.62495,0,0,2.279,2,8189,0,242,0,6.58112
5.6599,0,0,2.235,2,8191,0,243,0,4.18163
5.35736,0,0,3.039,2,8189,0,231,0,3.30803
4.7052,0,0,2.78,2,8189,0,204,0,3.5177
4.12288,0,0,2.46,2,8189,0,180,0,3.11002
4.91461,0,0,3.006,2,8189,0,213,0,3.52934
4.21583,0,0,2.792,2,8189,0,186,0,3.8089
4.49504,0,0,3.084,2,8189,0,193,0,4.12339
4.75148,0,0,2.518,2,8189,0,207,0,3.99526
4.55339,0,0,2.552,2,8191,0,200,0,4.12339
3.94777,0,0,3.857,2,8191,0,175,0,4.37965
4.99578,0,0,2.656,2,8191,0,218,0,4.368
4.42529,0,0,2.845,2,8189,0,193,0,3.73901
5.59009,0,0,2.285,2,8191,0,241,0,4.93875
5.11232,0,0,1.988,2,8189,0,221,0,12.3585
4.53048,0,0,2.933,2,8189,0,197,0,11.5898
5.25255,0,0,2.197,2,8191,0,226,0,10.425
5.48551,0,0,2.142,2,8189,0,237,0,10.6929
5.46237,0,0,3.106,2,8189,0,235,0,8.72435
4.76349,0,0,1.991,2,8189,0,207,0,12.1605
4.98458,0,0,2.584,2,8191,0,215,0,8.38656
4.73982,0,0,2.12,2,8191,0,205,0,5.00864
6.02076,0,0,2.883,2,8191,0,261,0,4.86886
4.65838,0,0,4.448,2,8189,0,203,0,11.6014
4.1108,0,0,2.063,2,8189,0,178,0,11.9508
4.83276,0,0,3.078,2,8191,0,209,0,3.85549
4.61154,0,0,2.604,2,8189,0,199,0,3.65747
4.96095,0,0,2.121,2,8189,0,216,0,4.13504
4.65819,0,0,3.218,2,8189,0,203,0,5.03194
4.32066,0,0,2.567,2,8189,0,190,0,6.84902
4.14599,0,0,2.738,2,8189,0,182,0,6.02202
4.40213,0,0,2.936,2,8189,0,191,0,4.16998
4.50694,0,0,2.308,2,8189,0,198,0,3.98362
4.44887,0,0,2.821,2,8189,0,194,0,5.17171
4.68193,0,0,2.38,2,8189,0,203,0,14.8978
3.42418,0,0,3.785,2,8189,0,152,0,11.8227
5.07787,0,0,3.247,2,8189,0,221,0,8.30502
4.51853,0,0,3.164,2,8189,0,196,0,3.48275
3.91206,0,0,4.828,2,8189,0,172,0,3.15661
3.63344,0,0,3.079,2,8191,0,162,0,2.6441
4.09903,0,0,4.084,2,8191,0,178,0,3.31968
4.4719,0,0,2.015,2,8189,0,195,0,3.79725
4.73968,0,0,3.719,2,8189,0,205,0,4.55437
4.63503,0,0,2.603,2,8189,0,201,0,4.15834
3.93637,0,0,3.757,2,8189,0,173,0,3.5177
3.42386,0,0,4.003,2,8190,0,153,0,3.33133
4.09894,0,0,2.634,2,8189,0,178,0,3.57594
5.05449,0,0,2.795,2,8191,0,218,0,3.7623
4.56543,0,0,2.617,2,8189,0,198,0,3.19155
4.96142,0,0,2.688,2,8189,0,214,0,3.4944
4.41408,0,0,3.486,2,8189,0,193,0,4.49613
3.93659,0,0,4.199,2,8189,0,172,0,6.23168
5.12427,0,0,3.709,2,8189,0,222,0,10.0639
