

Method,UDT
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Send Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
28.9708,0,0,27.668,2467,8165,1,72,0,1078.14
27.4004,0,0,34.562,4865,8180,1,70,0,468.634
23.9798,0,0,34.261,7050,8133,1,71,0,1253.53
27.5191,0,2,31.823,5238,8190,18.4336,69,2,4258.5
27.3462,0,1,27.554,5747,8181,19.4852,69,1,435.926
28.2538,0,2,23.14,11034,8152,24.5156,75,2,2000.49
27.9756,0,1,28.856,8944,8190,25.4877,66,1,1269.63
25.8657,0,2,33.177,8539,8189,21.9517,66,2,2731.12
25.0028,0,1,36.348,7962,8162,24.3385,67,1,466.409
30.323,0,0,26.043,10499,8155,23.0537,73,0,3134.22
27.2394,0,1,34.831,7531,8152,24.7077,74,1,1324.4
24.6075,0,0,29.62,6484,8171,23.6708,67,0,146.811
28.3928,0,0,37.258,13232,8159,22.3628,73,0,3235.28
32.7943,0,0,22.294,5343,8178,20.1818,70,0,42.2589
27.1232,0,3,23.531,1895,8126,27.1864,72,3,1599.41
27.7173,0,1,29.742,5737,8145,25.1499,71,1,2171.23
29.324,0,2,28.365,9533,8191,31.5953,69,2,3255.23
27.7758,0,0,29.667,9619,8184,29.39,68,0,1090.53
27.3323,0,1,32.839,7916,8169,21.9968,69,1,473.899
26.2147,0,2,35.69,21274,8163,26,72,2,3982.94
25.819,0,0,33.377,7147,8189,23.5338,69,0,1318.82
22.8616,0,1,37.853,3382,8187,18.9564,56,1,550.648
22.5822,0,3,42.572,12540,8122,27.6132,72,3,2383.23
25.0027,0,4,52.769,17223,8161,42.9961,60,4,294.531
28.3684,0,0,36.137,11988,8179,39.7174,73,0,1837.13
29.5219,0,2,30.184,10039,8170,44.2411,69,2,290.583
28.7651,0,1,45.988,10967,8166,48.5388,75,1,1766.36
