

Method,CUDPBlast
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Send Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
30.2463,0,3,32.158,83333,8152,0,71,3,2613.29
27.5314,0,0,33.709,83333,8159,0,71,0,35.3866
28.0383,0,1,32.118,83333,8169,0,64,1,100.988
27.0048,0,1,30.49,83333,8128,0,71,1,1835.12
29.5449,0,1,30.19,83333,8161,0,67,1,2032.73
6.07869,0.081515,0,21.334,83333,8191,0,16,0,1668.38
0,0,0,21.334,83333,8191,0,0,0,1668.38
0,0,0,21.334,83333,8191,0,0,0,1668.38
0,0,0,21.334,83333,8191,0,0,0,1668.38
0,0,0,21.334,83333,8191,0,0,0,1668.38
0,0,0,21.334,83333,8191,0,0,0,1668.38


